Name,SFCLink,ROs,Reps,Total,Reps v total%,LicenseStats,Licensed
Kaiser KT Capital Limited,SFClicensees.asp?p=49581&a=0&h=Y&sort=posdn&d=2020-01-22,4,2,6,33.33,SFChistfirm.asp?p=49581&a=0,
KARL THOMSON INVESTMENT CONSULTANTS LIMITED,SFClicensees.asp?p=68846&a=0&h=Y&sort=posdn&d=2020-01-22,2,4,6,66.67,SFChistfirm.asp?p=68846&a=0,2004-12-16
KB Securities Hong Kong Limited,SFClicensees.asp?p=71994&a=0&h=Y&sort=posdn&d=2020-01-22,3,3,6,50.00,SFChistfirm.asp?p=71994&a=0,
KEYSTONE CAPITAL LIMITED (HK),SFClicensees.asp?p=2508618&a=0&h=Y&sort=posdn&d=2020-01-22,2,4,6,66.67,SFChistfirm.asp?p=2508618&a=0,2016-06-17
KINGDOM INVESTMENT MANAGERS LIMITED,SFClicensees.asp?p=48953&a=0&h=Y&sort=posdn&d=2020-01-22,4,2,6,33.33,SFChistfirm.asp?p=48953&a=0,2008-12-02
LCA Solutions Limited,SFClicensees.asp?p=131781&a=0&h=Y&sort=posdn&d=2020-01-22,3,3,6,50.00,SFChistfirm.asp?p=131781&a=0,2010-07-30
Lexington Partners Asia Limited,SFClicensees.asp?p=1573467&a=0&h=Y&sort=posdn&d=2020-01-22,2,4,6,66.67,SFChistfirm.asp?p=1573467&a=0,2013-08-16
Lighthorse Asset Management (HK) Limited,SFClicensees.asp?p=131880&a=0&h=Y&sort=posdn&d=2020-01-22,2,4,6,66.67,SFChistfirm.asp?p=131880&a=0,2009-09-04
Lion Capital Management Limited,SFClicensees.asp?p=2579954&a=0&h=Y&sort=posdn&d=2020-01-22,2,4,6,66.67,SFChistfirm.asp?p=2579954&a=0,2017-08-14
LLOYD GEORGE MANAGEMENT (HK) LIMITED,SFClicensees.asp?p=2309332&a=0&h=Y&sort=posdn&d=2020-01-22,3,3,6,50.00,SFChistfirm.asp?p=2309332&a=0,2015-01-16
LUZHENG INTERNATIONAL FUTURES LIMITED,SFClicensees.asp?p=15213534&a=0&h=Y&sort=posdn&d=2020-01-22,3,3,6,50.00,SFChistfirm.asp?p=15213534&a=0,2019-03-06
LY CAPITAL LIMITED,SFClicensees.asp?p=2057133&a=0&h=Y&sort=posdn&d=2020-01-22,2,4,6,66.67,SFChistfirm.asp?p=2057133&a=0,2013-12-11
MBK Partners HK Limited,SFClicensees.asp?p=1347711&a=0&h=Y&sort=posdn&d=2020-01-22,4,2,6,33.33,SFChistfirm.asp?p=1347711&a=0,2018-11-29
Merdeka Securities Limited,SFClicensees.asp?p=63268&a=0&h=Y&sort=posdn&d=2020-01-22,3,3,6,50.00,SFChistfirm.asp?p=63268&a=0,
Merian Global Investors (Asia Pacific) Limited,SFClicensees.asp?p=58897&a=0&h=Y&sort=posdn&d=2020-01-22,3,3,6,50.00,SFChistfirm.asp?p=58897&a=0,
"Mesirow Financial Hong Kong, Limited",SFClicensees.asp?p=1772860&a=0&h=Y&sort=posdn&d=2020-01-22,5,1,6,16.67,SFChistfirm.asp?p=1772860&a=0,2012-06-05
MFS International (Hong Kong) Limited,SFClicensees.asp?p=131756&a=0&h=Y&sort=posdn&d=2020-01-22,4,2,6,33.33,SFChistfirm.asp?p=131756&a=0,2009-07-29
Minmetals & Jingyi Financial Services Limited,SFClicensees.asp?p=2711434&a=0&h=Y&sort=posdn&d=2020-01-22,3,3,6,50.00,SFChistfirm.asp?p=2711434&a=0,2018-10-08
Mitsubishi UFJ Investment Services (HK) Limited,SFClicensees.asp?p=87352&a=0&h=Y&sort=posdn&d=2020-01-22,3,3,6,50.00,SFChistfirm.asp?p=87352&a=0,2007-12-21
MLB Asset Management Limited,SFClicensees.asp?p=2406950&a=0&h=Y&sort=posdn&d=2020-01-22,2,4,6,66.67,SFChistfirm.asp?p=2406950&a=0,2015-10-30
Monument Group (HK) Limited,SFClicensees.asp?p=2064462&a=0&h=Y&sort=posdn&d=2020-01-22,3,3,6,50.00,SFChistfirm.asp?p=2064462&a=0,2014-01-24
Moore Capital Asia Limited,SFClicensees.asp?p=131859&a=0&h=Y&sort=posdn&d=2020-01-22,2,4,6,66.67,SFChistfirm.asp?p=131859&a=0,2010-06-11
MYM CAPITAL PARTNERS LIMITED,SFClicensees.asp?p=2626950&a=0&h=Y&sort=posdn&d=2020-01-22,3,3,6,50.00,SFChistfirm.asp?p=2626950&a=0,2017-04-28
NBC Financial Markets Asia Limited,SFClicensees.asp?p=2153257&a=0&h=Y&sort=posdn&d=2020-01-22,3,3,6,50.00,SFChistfirm.asp?p=2153257&a=0,2014-08-05
Nexus Point Advisors (HK) Limited,SFClicensees.asp?p=2678108&a=0&h=Y&sort=posdn&d=2020-01-22,3,3,6,50.00,SFChistfirm.asp?p=2678108&a=0,2017-05-25
Nezu Asia Capital Management Limited,SFClicensees.asp?p=64647&a=0&h=Y&sort=posdn&d=2020-01-22,3,3,6,50.00,SFChistfirm.asp?p=64647&a=0,2004-10-29
Nittan Securities Asia Limited,SFClicensees.asp?p=50690&a=0&h=Y&sort=posdn&d=2020-01-22,4,2,6,33.33,SFChistfirm.asp?p=50690&a=0,2013-09-11
NIVALIS PARTNERS LIMITED,SFClicensees.asp?p=2001999&a=0&h=Y&sort=posdn&d=2020-01-22,2,4,6,66.67,SFChistfirm.asp?p=2001999&a=0,2013-09-04
Ocean Arete Limited,SFClicensees.asp?p=2250280&a=0&h=Y&sort=posdn&d=2020-01-22,2,4,6,66.67,SFChistfirm.asp?p=2250280&a=0,2014-08-18
ONSHINE SECURITIES LIMITED,SFClicensees.asp?p=21480&a=0&h=Y&sort=posdn&d=2020-01-22,3,3,6,50.00,SFChistfirm.asp?p=21480&a=0,
Orchard Wealth Management Limited,SFClicensees.asp?p=131785&a=0&h=Y&sort=posdn&d=2020-01-22,3,3,6,50.00,SFChistfirm.asp?p=131785&a=0,2008-11-05
Oscar and Partners Capital Limited,SFClicensees.asp?p=12759534&a=0&h=Y&sort=posdn&d=2020-01-22,2,4,6,66.67,SFChistfirm.asp?p=12759534&a=0,2018-08-15
Oswin Asset Management Limited,SFClicensees.asp?p=22674662&a=0&h=Y&sort=posdn&d=2020-01-22,2,4,6,66.67,SFChistfirm.asp?p=22674662&a=0,2019-06-28
PACIFIC EAGLE ASSET MANAGEMENT LIMITED,SFClicensees.asp?p=33561&a=0&h=Y&sort=posdn&d=2020-01-22,4,2,6,33.33,SFChistfirm.asp?p=33561&a=0,2004-04-07
PARAMETRICA MANAGEMENT LIMITED,SFClicensees.asp?p=1516403&a=0&h=Y&sort=posdn&d=2020-01-22,2,4,6,66.67,SFChistfirm.asp?p=1516403&a=0,2012-08-03
Pharo Management (HK) Limited,SFClicensees.asp?p=131835&a=0&h=Y&sort=posdn&d=2020-01-22,3,3,6,50.00,SFChistfirm.asp?p=131835&a=0,2010-09-24
PLATINUM SECURITIES COMPANY LIMITED,SFClicensees.asp?p=5778&a=0&h=Y&sort=posdn&d=2020-01-22,2,4,6,66.67,SFChistfirm.asp?p=5778&a=0,
Pollock Asset Management Limited,SFClicensees.asp?p=12483645&a=0&h=Y&sort=posdn&d=2020-01-22,3,3,6,50.00,SFChistfirm.asp?p=12483645&a=0,2018-11-20
Prime China Investments and Advisory Limited,SFClicensees.asp?p=2639784&a=0&h=Y&sort=posdn&d=2020-01-22,3,3,6,50.00,SFChistfirm.asp?p=2639784&a=0,2019-07-19
Prior Asset Management Limited,SFClicensees.asp?p=2290568&a=0&h=Y&sort=posdn&d=2020-01-22,2,4,6,66.67,SFChistfirm.asp?p=2290568&a=0,2016-09-14
PULSAR CAPITAL LIMITED (HK),SFClicensees.asp?p=2643825&a=0&h=Y&sort=posdn&d=2020-01-22,3,3,6,50.00,SFChistfirm.asp?p=2643825&a=0,2017-03-01
QI YUAN ASSET MANAGEMENT (H.K.) LIMITED,SFClicensees.asp?p=16418&a=0&h=Y&sort=posdn&d=2020-01-22,2,4,6,66.67,SFChistfirm.asp?p=16418&a=0,
RaffAello Securities (HK) Limited,SFClicensees.asp?p=51128&a=0&h=Y&sort=posdn&d=2020-01-22,2,4,6,66.67,SFChistfirm.asp?p=51128&a=0,2005-03-30
RC Futures Advisory Limited,SFClicensees.asp?p=131691&a=0&h=Y&sort=posdn&d=2020-01-22,4,2,6,33.33,SFChistfirm.asp?p=131691&a=0,2010-05-19
RSI SECURITIES LIMITED,SFClicensees.asp?p=2455746&a=0&h=Y&sort=posdn&d=2020-01-22,4,2,6,33.33,SFChistfirm.asp?p=2455746&a=0,2016-09-19
S. W. WOO AND COMPANY LIMITED,SFClicensees.asp?p=131999&a=0&h=Y&sort=posdn&d=2020-01-22,3,3,6,50.00,SFChistfirm.asp?p=131999&a=0,
SAIL ADVISORS LIMITED,SFClicensees.asp?p=50107&a=0&h=Y&sort=posdn&d=2020-01-22,3,3,6,50.00,SFChistfirm.asp?p=50107&a=0,2004-05-17
SC Lowy Asset Management (HK) Limited,SFClicensees.asp?p=99852&a=0&h=Y&sort=posdn&d=2020-01-22,2,4,6,66.67,SFChistfirm.asp?p=99852&a=0,2010-03-12
Seazen Resources Futures Limited,SFClicensees.asp?p=2032376&a=0&h=Y&sort=posdn&d=2020-01-22,3,3,6,50.00,SFChistfirm.asp?p=2032376&a=0,2013-08-21
Seiga Asset Management Limited,SFClicensees.asp?p=2656100&a=0&h=Y&sort=posdn&d=2020-01-22,3,3,6,50.00,SFChistfirm.asp?p=2656100&a=0,2017-03-17
Sensible Asset Management Limited,SFClicensees.asp?p=97671&a=0&h=Y&sort=posdn&d=2020-01-22,4,2,6,33.33,SFChistfirm.asp?p=97671&a=0,2005-06-18
SFM HK Management Limited,SFClicensees.asp?p=131547&a=0&h=Y&sort=posdn&d=2020-01-22,2,4,6,66.67,SFChistfirm.asp?p=131547&a=0,2010-11-01
SHANGGU ASSET MANAGEMENT (ASIA) LIMITED,SFClicensees.asp?p=2659304&a=0&h=Y&sort=posdn&d=2020-01-22,2,4,6,66.67,SFChistfirm.asp?p=2659304&a=0,2017-06-16
Shanggu Securities Limited,SFClicensees.asp?p=10722190&a=0&h=Y&sort=posdn&d=2020-01-22,4,2,6,33.33,SFChistfirm.asp?p=10722190&a=0,2018-02-05
SHANGHAI INTERNATIONAL ASSET MANAGEMENT (HONG KONG) COMPANY LIMITED,SFClicensees.asp?p=34206&a=0&h=Y&sort=posdn&d=2020-01-22,5,1,6,16.67,SFChistfirm.asp?p=34206&a=0,
SIU ON SECURITIES LIMITED,SFClicensees.asp?p=131783&a=0&h=Y&sort=posdn&d=2020-01-22,4,2,6,33.33,SFChistfirm.asp?p=131783&a=0,
SMART GRANDLY ASSET MANAGEMENT LIMITED,SFClicensees.asp?p=2036936&a=0&h=Y&sort=posdn&d=2020-01-22,4,2,6,33.33,SFChistfirm.asp?p=2036936&a=0,2015-02-12
Smart Wise Advisors Limited,SFClicensees.asp?p=2590947&a=0&h=Y&sort=posdn&d=2020-01-22,2,4,6,66.67,SFChistfirm.asp?p=2590947&a=0,2017-08-29
SMBC Capital Markets (Asia) Limited,SFClicensees.asp?p=131993&a=0&h=Y&sort=posdn&d=2020-01-22,5,1,6,16.67,SFChistfirm.asp?p=131993&a=0,2010-07-14
Springboard Capital Limited,SFClicensees.asp?p=131699&a=0&h=Y&sort=posdn&d=2020-01-22,4,2,6,33.33,SFChistfirm.asp?p=131699&a=0,2010-07-02
STARWIN FINANCIAL GROUP LIMITED,SFClicensees.asp?p=2629434&a=0&h=Y&sort=posdn&d=2020-01-22,4,2,6,33.33,SFChistfirm.asp?p=2629434&a=0,2017-08-04
Strabens Hall (Hong Kong) Limited,SFClicensees.asp?p=2278082&a=0&h=Y&sort=posdn&d=2020-01-22,3,3,6,50.00,SFChistfirm.asp?p=2278082&a=0,2014-09-29
Substance Capital (HK) Limited,SFClicensees.asp?p=2402206&a=0&h=Y&sort=posdn&d=2020-01-22,3,3,6,50.00,SFChistfirm.asp?p=2402206&a=0,2015-08-28
SUCCESS ASSET MANAGEMENT LIMITED,SFClicensees.asp?p=2053093&a=0&h=Y&sort=posdn&d=2020-01-22,2,4,6,66.67,SFChistfirm.asp?p=2053093&a=0,2013-08-29
Sun International Investment Services Limited,SFClicensees.asp?p=2527212&a=0&h=Y&sort=posdn&d=2020-01-22,3,3,6,50.00,SFChistfirm.asp?p=2527212&a=0,2016-11-15
Sun Life Asset Management (HK) Limited,SFClicensees.asp?p=1401873&a=0&h=Y&sort=posdn&d=2020-01-22,4,2,6,33.33,SFChistfirm.asp?p=1401873&a=0,2014-05-23
SUNFUND SECURITIES LIMITED,SFClicensees.asp?p=2545700&a=0&h=Y&sort=posdn&d=2020-01-22,3,3,6,50.00,SFChistfirm.asp?p=2545700&a=0,2017-01-23
T G SECURITIES LIMITED,SFClicensees.asp?p=51078&a=0&h=Y&sort=posdn&d=2020-01-22,2,4,6,66.67,SFChistfirm.asp?p=51078&a=0,2005-12-19
TAI FUNG SECURITIES LIMITED,SFClicensees.asp?p=51082&a=0&h=Y&sort=posdn&d=2020-01-22,3,3,6,50.00,SFChistfirm.asp?p=51082&a=0,
TAIREN CAPITAL LIMITED,SFClicensees.asp?p=131731&a=0&h=Y&sort=posdn&d=2020-01-22,4,2,6,33.33,SFChistfirm.asp?p=131731&a=0,2008-07-08
Tamar Alliance Capital Limited,SFClicensees.asp?p=12586537&a=0&h=Y&sort=posdn&d=2020-01-22,3,3,6,50.00,SFChistfirm.asp?p=12586537&a=0,2018-08-17
TANG PING KONG LIMITED,SFClicensees.asp?p=44936&a=0&h=Y&sort=posdn&d=2020-01-22,2,4,6,66.67,SFChistfirm.asp?p=44936&a=0,2017-02-14
TBP Investment Advisory (HK) Limited,SFClicensees.asp?p=1962218&a=0&h=Y&sort=posdn&d=2020-01-22,2,4,6,66.67,SFChistfirm.asp?p=1962218&a=0,2013-06-19
Thor Asset Management Limited,SFClicensees.asp?p=11774157&a=0&h=Y&sort=posdn&d=2020-01-22,3,3,6,50.00,SFChistfirm.asp?p=11774157&a=0,2018-05-04
TIANDA SECURITIES LIMITED,SFClicensees.asp?p=131846&a=0&h=Y&sort=posdn&d=2020-01-22,2,4,6,66.67,SFChistfirm.asp?p=131846&a=0,2011-01-18
TRANSPAC CAPITAL LIMITED,SFClicensees.asp?p=131869&a=0&h=Y&sort=posdn&d=2020-01-22,3,3,6,50.00,SFChistfirm.asp?p=131869&a=0,
TTB Partners Limited,SFClicensees.asp?p=2563130&a=0&h=Y&sort=posdn&d=2020-01-22,3,3,6,50.00,SFChistfirm.asp?p=2563130&a=0,2017-05-31
TUNG TAI FUTURES LIMITED,SFClicensees.asp?p=35684&a=0&h=Y&sort=posdn&d=2020-01-22,3,3,6,50.00,SFChistfirm.asp?p=35684&a=0,
TUS Asset Management Limited,SFClicensees.asp?p=1961247&a=0&h=Y&sort=posdn&d=2020-01-22,2,4,6,66.67,SFChistfirm.asp?p=1961247&a=0,2014-01-30
UBP ASSET MANAGEMENT ASIA LIMITED,SFClicensees.asp?p=67744&a=0&h=Y&sort=posdn&d=2020-01-22,3,3,6,50.00,SFChistfirm.asp?p=67744&a=0,2007-01-11
Viking Global Hong Kong Limited,SFClicensees.asp?p=131862&a=0&h=Y&sort=posdn&d=2020-01-22,4,2,6,33.33,SFChistfirm.asp?p=131862&a=0,2010-09-17
VP Wealth Management (Hong Kong) Limited,SFClicensees.asp?p=131704&a=0&h=Y&sort=posdn&d=2020-01-22,3,3,6,50.00,SFChistfirm.asp?p=131704&a=0,2007-09-11
WATERVALLEY CAPITAL MANAGEMENT (HK) LIMITED,SFClicensees.asp?p=2047830&a=0&h=Y&sort=posdn&d=2020-01-22,2,4,6,66.67,SFChistfirm.asp?p=2047830&a=0,2013-07-03
Welkin Capital Management (Asia) Limited,SFClicensees.asp?p=2404640&a=0&h=Y&sort=posdn&d=2020-01-22,2,4,6,66.67,SFChistfirm.asp?p=2404640&a=0,2016-02-23
Well Link Asset Management Limited,SFClicensees.asp?p=2099161&a=0&h=Y&sort=posdn&d=2020-01-22,3,3,6,50.00,SFChistfirm.asp?p=2099161&a=0,2014-01-02
YINHUA INTERNATIONAL CAPITAL MANAGEMENT LIMITED,SFClicensees.asp?p=1923834&a=0&h=Y&sort=posdn&d=2020-01-22,4,2,6,33.33,SFChistfirm.asp?p=1923834&a=0,2014-10-24
YONGAN GUOFU ASSET MANAGEMENT (HONG KONG) COMPANY LIMITED,SFClicensees.asp?p=12621106&a=0&h=Y&sort=posdn&d=2020-01-22,4,2,6,33.33,SFChistfirm.asp?p=12621106&a=0,2018-11-15
Yuexiu REIT Asset Management Limited,SFClicensees.asp?p=31247&a=0&h=Y&sort=posdn&d=2020-01-22,4,2,6,33.33,SFChistfirm.asp?p=31247&a=0,2005-12-08
Yunqi Capital Limited,SFClicensees.asp?p=6716934&a=0&h=Y&sort=posdn&d=2020-01-22,3,3,6,50.00,SFChistfirm.asp?p=6716934&a=0,2018-05-11
Zhong Shan Asset Management Limited,SFClicensees.asp?p=2713943&a=0&h=Y&sort=posdn&d=2020-01-22,2,4,6,66.67,SFChistfirm.asp?p=2713943&a=0,2018-06-28
Zhongrong International Securities Company Limited,SFClicensees.asp?p=1848428&a=0&h=Y&sort=posdn&d=2020-01-22,4,2,6,33.33,SFChistfirm.asp?p=1848428&a=0,2015-08-12
3 Capital Partners Limited,SFClicensees.asp?p=2558149&a=0&h=Y&sort=posdn&d=2020-01-22,2,3,5,60.00,SFChistfirm.asp?p=2558149&a=0,2016-09-14
A-JEX INTERNATIONAL ASSET MANAGEMENT LIMITED,SFClicensees.asp?p=11550788&a=0&h=Y&sort=posdn&d=2020-01-22,4,1,5,20.00,SFChistfirm.asp?p=11550788&a=0,2018-02-12
ADS Securities Hong Kong Limited,SFClicensees.asp?p=131577&a=0&h=Y&sort=posdn&d=2020-01-22,2,3,5,60.00,SFChistfirm.asp?p=131577&a=0,2011-08-09
Aetas Global Markets Limited,SFClicensees.asp?p=98509&a=0&h=Y&sort=posdn&d=2020-01-22,2,3,5,60.00,SFChistfirm.asp?p=98509&a=0,2005-10-26
Aevitas Securities Limited,SFClicensees.asp?p=50914&a=0&h=Y&sort=posdn&d=2020-01-22,3,2,5,40.00,SFChistfirm.asp?p=50914&a=0,2018-11-16
AFG Securities Limited,SFClicensees.asp?p=2629785&a=0&h=Y&sort=posdn&d=2020-01-22,3,2,5,40.00,SFChistfirm.asp?p=2629785&a=0,2017-08-03
Aksia Hong Kong Limited,SFClicensees.asp?p=1846735&a=0&h=Y&sort=posdn&d=2020-01-22,2,3,5,60.00,SFChistfirm.asp?p=1846735&a=0,2012-08-06
Alliance Asset Management Limited (HK),SFClicensees.asp?p=2085927&a=0&h=Y&sort=posdn&d=2020-01-22,2,3,5,60.00,SFChistfirm.asp?p=2085927&a=0,2014-12-23
Alpha International Securities (HONG KONG) Limited,SFClicensees.asp?p=66403&a=0&h=Y&sort=posdn&d=2020-01-22,3,2,5,40.00,SFChistfirm.asp?p=66403&a=0,2010-08-23
ALPHA WEALTH MANAGEMENT LIMITED (HK),SFClicensees.asp?p=131682&a=0&h=Y&sort=posdn&d=2020-01-22,3,2,5,40.00,SFChistfirm.asp?p=131682&a=0,2007-05-08
AlpInvest Partners Limited,SFClicensees.asp?p=1202588&a=0&h=Y&sort=posdn&d=2020-01-22,2,3,5,60.00,SFChistfirm.asp?p=1202588&a=0,2015-09-18
Alvarium Investment Advisors (Hong Kong) Limited,SFClicensees.asp?p=56681&a=0&h=Y&sort=posdn&d=2020-01-22,2,3,5,60.00,SFChistfirm.asp?p=56681&a=0,2004-05-11
Anatole Investment Management Limited,SFClicensees.asp?p=2537877&a=0&h=Y&sort=posdn&d=2020-01-22,2,3,5,60.00,SFChistfirm.asp?p=2537877&a=0,2016-05-24
"ANGLO CHINESE SECURITIES, LIMITED (HK)",SFClicensees.asp?p=50694&a=0&h=Y&sort=posdn&d=2020-01-22,3,2,5,40.00,SFChistfirm.asp?p=50694&a=0,
Anli Asset Management Limited,SFClicensees.asp?p=64094&a=0&h=Y&sort=posdn&d=2020-01-22,3,2,5,40.00,SFChistfirm.asp?p=64094&a=0,
Anue Capital International Limited,SFClicensees.asp?p=69931&a=0&h=Y&sort=posdn&d=2020-01-22,4,1,5,20.00,SFChistfirm.asp?p=69931&a=0,2005-08-30
Anuenue Advisors Limited,SFClicensees.asp?p=80205&a=0&h=Y&sort=posdn&d=2020-01-22,4,1,5,20.00,SFChistfirm.asp?p=80205&a=0,2005-10-06
Apollo Capital Management Limited,SFClicensees.asp?p=22468057&a=0&h=Y&sort=posdn&d=2020-01-22,2,3,5,60.00,SFChistfirm.asp?p=22468057&a=0,2019-10-08
ARA ASSET MANAGEMENT (FORTUNE) LIMITED,SFClicensees.asp?p=22668&a=0&h=Y&sort=posdn&d=2020-01-22,3,2,5,40.00,SFChistfirm.asp?p=22668&a=0,2010-03-30
Arete Research Asia Limited,SFClicensees.asp?p=84333&a=0&h=Y&sort=posdn&d=2020-01-22,3,2,5,40.00,SFChistfirm.asp?p=84333&a=0,2010-01-11
ARK PACIFIC CAPITAL MANAGEMENT LIMITED,SFClicensees.asp?p=2210496&a=0&h=Y&sort=posdn&d=2020-01-22,2,3,5,60.00,SFChistfirm.asp?p=2210496&a=0,2014-06-20
ASIA INVESTMENT MANAGEMENT LIMITED,SFClicensees.asp?p=14921&a=0&h=Y&sort=posdn&d=2020-01-22,3,2,5,40.00,SFChistfirm.asp?p=14921&a=0,
Atlantic Pacific Capital Asia Limited,SFClicensees.asp?p=131989&a=0&h=Y&sort=posdn&d=2020-01-22,2,3,5,60.00,SFChistfirm.asp?p=131989&a=0,2008-11-14
AtomVest Limited,SFClicensees.asp?p=2355695&a=0&h=Y&sort=posdn&d=2020-01-22,3,2,5,40.00,SFChistfirm.asp?p=2355695&a=0,2016-04-27
AUGUSTINE SECURITIES COMPANY LIMITED,SFClicensees.asp?p=11777668&a=0&h=Y&sort=posdn&d=2020-01-22,3,2,5,40.00,SFChistfirm.asp?p=11777668&a=0,2018-08-13
Austin Asia Securities Limited,SFClicensees.asp?p=1608708&a=0&h=Y&sort=posdn&d=2020-01-22,4,1,5,20.00,SFChistfirm.asp?p=1608708&a=0,2012-11-14
AVENUE INVESTMENT MANAGEMENT LIMITED,SFClicensees.asp?p=22697611&a=0&h=Y&sort=posdn&d=2020-01-22,5,0,5,0.00,SFChistfirm.asp?p=22697611&a=0,2019-08-28
BALLINGAL INVESTMENT ADVISORS LIMITED,SFClicensees.asp?p=85966&a=0&h=Y&sort=posdn&d=2020-01-22,3,2,5,40.00,SFChistfirm.asp?p=85966&a=0,2004-08-13
BAN HIN SECURITIES COMPANY LIMITED,SFClicensees.asp?p=50701&a=0&h=Y&sort=posdn&d=2020-01-22,4,1,5,20.00,SFChistfirm.asp?p=50701&a=0,
BestEx Asia Limited,SFClicensees.asp?p=2562610&a=0&h=Y&sort=posdn&d=2020-01-22,2,3,5,60.00,SFChistfirm.asp?p=2562610&a=0,2017-01-17
BG Asset Management Limited,SFClicensees.asp?p=2198560&a=0&h=Y&sort=posdn&d=2020-01-22,2,3,5,60.00,SFChistfirm.asp?p=2198560&a=0,2014-05-27
BLUEFIN HK LIMITED,SFClicensees.asp?p=131640&a=0&h=Y&sort=posdn&d=2020-01-22,2,3,5,60.00,SFChistfirm.asp?p=131640&a=0,2010-06-30
BMP WEALTH LIMITED,SFClicensees.asp?p=2582931&a=0&h=Y&sort=posdn&d=2020-01-22,2,3,5,60.00,SFChistfirm.asp?p=2582931&a=0,2017-06-05
BNS Securities (HK) Limited,SFClicensees.asp?p=12686693&a=0&h=Y&sort=posdn&d=2020-01-22,3,2,5,40.00,SFChistfirm.asp?p=12686693&a=0,2019-05-10
BOND TRUST LIMITED,SFClicensees.asp?p=94251&a=0&h=Y&sort=posdn&d=2020-01-22,3,2,5,40.00,SFChistfirm.asp?p=94251&a=0,2004-08-04
BRIC Neutron Asset Management Limited,SFClicensees.asp?p=68454&a=0&h=Y&sort=posdn&d=2020-01-22,3,2,5,40.00,SFChistfirm.asp?p=68454&a=0,2008-09-10
Brickfield Partners Limited,SFClicensees.asp?p=13971835&a=0&h=Y&sort=posdn&d=2020-01-22,2,3,5,60.00,SFChistfirm.asp?p=13971835&a=0,2019-01-30
BTL ASSET MANAGEMENT COMPANY LIMITED,SFClicensees.asp?p=2321500&a=0&h=Y&sort=posdn&d=2020-01-22,3,2,5,40.00,SFChistfirm.asp?p=2321500&a=0,2015-08-28
BUENA VISTA FUND MANAGEMENT (HK) LIMITED,SFClicensees.asp?p=78599&a=0&h=Y&sort=posdn&d=2020-01-22,3,2,5,40.00,SFChistfirm.asp?p=78599&a=0,2007-01-18
BUSINESS FUTURES LIMITED,SFClicensees.asp?p=70910&a=0&h=Y&sort=posdn&d=2020-01-22,2,3,5,60.00,SFChistfirm.asp?p=70910&a=0,
"BYFX HK Co., Limited",SFClicensees.asp?p=2424575&a=0&h=Y&sort=posdn&d=2020-01-22,2,3,5,60.00,SFChistfirm.asp?p=2424575&a=0,2016-07-21
C.P. FINANCIAL MANAGEMENT LIMITED,SFClicensees.asp?p=131941&a=0&h=Y&sort=posdn&d=2020-01-22,2,3,5,60.00,SFChistfirm.asp?p=131941&a=0,2008-05-09
Celera Markets Limited,SFClicensees.asp?p=68434&a=0&h=Y&sort=posdn&d=2020-01-22,2,3,5,60.00,SFChistfirm.asp?p=68434&a=0,2008-08-12
Cerberus Asia Pacific Advisors II Limited,SFClicensees.asp?p=12149236&a=0&h=Y&sort=posdn&d=2020-01-22,3,2,5,40.00,SFChistfirm.asp?p=12149236&a=0,2018-08-02
CF GLOBAL (HK) LIMITED,SFClicensees.asp?p=88915&a=0&h=Y&sort=posdn&d=2020-01-22,3,2,5,40.00,SFChistfirm.asp?p=88915&a=0,2006-11-22
"CG Partners Asset Management Co., Limited",SFClicensees.asp?p=2415916&a=0&h=Y&sort=posdn&d=2020-01-22,2,3,5,60.00,SFChistfirm.asp?p=2415916&a=0,2015-09-01
CHALLENGE CAPITAL MANAGEMENT LIMITED,SFClicensees.asp?p=92674&a=0&h=Y&sort=posdn&d=2020-01-22,5,0,5,0.00,SFChistfirm.asp?p=92674&a=0,2004-10-26
CHAN NGOK MING SECURITIES LIMITED,SFClicensees.asp?p=50769&a=0&h=Y&sort=posdn&d=2020-01-22,2,3,5,60.00,SFChistfirm.asp?p=50769&a=0,
CHEE TAK SECURITIES LIMITED,SFClicensees.asp?p=50771&a=0&h=Y&sort=posdn&d=2020-01-22,2,3,5,60.00,SFChistfirm.asp?p=50771&a=0,
CHIEF GREAT CHINA ASSETS MANAGEMENT LIMITED,SFClicensees.asp?p=68452&a=0&h=Y&sort=posdn&d=2020-01-22,4,1,5,20.00,SFChistfirm.asp?p=68452&a=0,2011-06-24
China Angel Fund Management (HK) Company Limited,SFClicensees.asp?p=132986&a=0&h=Y&sort=posdn&d=2020-01-22,2,3,5,60.00,SFChistfirm.asp?p=132986&a=0,2011-10-24
China Gather Wealth Financial Company Limited,SFClicensees.asp?p=50814&a=0&h=Y&sort=posdn&d=2020-01-22,3,2,5,40.00,SFChistfirm.asp?p=50814&a=0,2005-04-01
China Silver Asset Management (Hong Kong) Limited,SFClicensees.asp?p=63128&a=0&h=Y&sort=posdn&d=2020-01-22,2,3,5,60.00,SFChistfirm.asp?p=63128&a=0,2009-12-02
CHUNG LEE SECURITIES COMPANY LIMITED,SFClicensees.asp?p=50785&a=0&h=Y&sort=posdn&d=2020-01-22,2,3,5,60.00,SFChistfirm.asp?p=50785&a=0,
Chung Sun Securities Limited,SFClicensees.asp?p=2506257&a=0&h=Y&sort=posdn&d=2020-01-22,2,3,5,60.00,SFChistfirm.asp?p=2506257&a=0,2017-02-21
